gu,충전량
송파구,1403.1316111111112
강남구,1360.9325000000001
성동구,1086.5411666666666
서초구,1049.7988333333333
강동구,959.0718333333333
마포구,898.3795555555556
노원구,794.4313888888888
영등포구,723.2852777777778
구로구,717.9845
양천구,657.7633888888889
강서구,649.2618333333334
중구,582.1662222222222
성북구,569.5927222222223
광진구,564.9155000000001
강북구,511.2729444444445
용산구,485.64705555555554
동대문구,476.2218888888889
도봉구,458.07511111111114
중랑구,409.99305555555554
종로구,393.5729444444445
서대문구,363.5590555555555
관악구,240.60533333333333
금천구,188.5453472222222
동작구,181.03905555555554
은평구,176.21804469273744
