충전소명,구,충전구분,일평균충전량(kWh)
뚝섬유수지 공영주차장,성동구,급속,432.4
서초지사(공용),서초구,급속,411.4
강변테크노마트 주차장,광진구,급속,409.1
서초지사,서초구,급속,387.5
한국공항공사 서울,강서구,급속,387.2
항동하버라인3단지,구로구,완속,330.2
강북성북지사(공용),강북구,급속,326.0
상암월드컵경기장,마포구,급속,268.4
서울에너지공사 주차장,양천구,급속,264.4
뚝도충전소,광진구,급속,234.2
천호유수지,강동구,급속,206.1
센트라스 2획지,성동구,완속,194.8
리센츠 아파트,송파구,완속,184.1
중계경남롯데상아 아파트,노원구,급속,168.6
마곡힐스테이트,강서구,완속,168.3
서울역(한화역사),중구,급속,166.3
가락쌍용1차 아파트,송파구,완속,164.1
가락시장,송파구,급속,151.4
양천구청 지하주차장,양천구,급속,150.3
태릉시장 중화공영주차장,중랑구,급속,147.4
연희동 홍연2교 옆 노상주차장,서대문구,급속,146.2
마포중앙도서관,마포구,급속,145.7
역삼래미안,강남구,완속,143.8
남산타운 아파트,중구,완속,140.6
명일동 공영주차장,강동구,급속,139.3
국립중앙극장 전기버스용 충전기,중구,급속,138.8
대우월드마크용산,용산구,완속,135.5
오금공원,송파구,급속,135.5
현대백화점 천호점,강동구,급속,134.9
중계주공4단지 아파트,노원구,완속,132.9
청량리역사(한화역사),동대문구,급속,132.7
송파더센트레,송파구,완속,131.8
송파도서관,송파구,급속,130.8
위례 포레샤인 23단지,송파구,완속,130.5
강동송파지사(공용),강동구,급속,130.0
영등포 제1스포츠센터,영등포구,급속,128.9
강북성북지사(공용),강북구,완속,128.2
신도림동아1차 아파트,구로구,완속,127.5
국립 중앙 박물관,용산구,급속,127.4
e편한세상 금호파크힐스,성동구,완속,126.1
서울대학교병원 장례식장주차장,종로구,급속,125.4
서울숲푸르지오 아파트,성동구,급속,123.8
강남세브란스 병원,강남구,급속,122.9
래미안아트리지,성북구,완속,122.4
센트라스 1획지,성동구,완속,121.8
신림 주공2단지,관악구,완속,120.2
거여2동 주민센터,송파구,급속,120.0
경창시장 고객주차장,양천구,급속,120.0
메세나폴리스 아파트,마포구,완속,117.7
구로구청 주차장,구로구,급속,114.3
학여울청구 아파트,노원구,완속,113.6
회기동 공영주차장,동대문구,급속,111.5
국립 중앙도서관,서초구,급속,111.3
강남데시앙포레,강남구,완속,111.1
고덕아이파크,강동구,완속,109.1
성내삼성 아파트,강동구,완속,108.8
메이퀸 웨딩홀,금천구,급속,108.8
영등포구청 환승공영주차장,영등포구,급속,108.1
위례스타힐스,송파구,완속,108.0
영등포아트자이 아파트,영등포구,완속,107.4
갤러리아팰리스,송파구,완속,106.9
타워팰리스1차,강남구,완속,105.8
국립현대미술관 서울관,종로구,급속,105.3
천호1동 공영주차장,강동구,급속,102.1
연희동성원아파트,서대문구,급속,101.6
역삼e-편한세상,강남구,완속,101.1
송파구청,송파구,급속,100.6
금천구청 지상 주차장,금천구,급속,100.4
길동삼익파크,강동구,완속,98.9
연세세브란스 에비슨의생명 연구센터,서대문구,급속,98.1
LH서울지사,강남구,급속,97.2
국립중앙극장,중구,급속,96.7
e편한세상염창,강서구,완속,95.7
남산케이블카,중구,급속,93.6
위례 포레샤인 23단지,송파구,급속,93.3
강남한신휴플러스6단지 아파트,강남구,완속,92.7
삼익가든아파트,강동구,완속,92.7
가락쌍용1차 아파트,송파구,급속,92.5
마포한강푸르지오1차,마포구,완속,91.0
남서울직할,영등포구,급속,91.0
신세계 강남점,서초구,급속,91.0
대림운동장 공영주차장,영등포구,급속,90.4
노원도봉지사,노원구,급속,89.9
동대문디자인플라자,중구,급속,89.9
정릉2차 e편한세상 아파트,성북구,완속,89.4
고척파크푸르지오,구로구,완속,89.1
서울전력관리처,중구,급속,89.1
강동송파지사,강동구,급속,89.0
고덕리엔파크3단지 아파트,강동구,완속,88.4
정릉풍림아이원,성북구,완속,87.9
문래힐스테이트,영등포구,완속,87.7
서부수도사업소,서대문구,급속,87.5
방학3동 주민센터,도봉구,급속,87.3
중계주공4단지 아파트,노원구,급속,87.2
금천구청 지상주차장2,금천구,급속,86.4
서울직할(공용),중구,급속,85.6
마포래미안푸르지오 3단지,마포구,완속,85.6
강서양천지사,양천구,급속,85.5
래미안서초스위트 아파트,서초구,완속,85.4
방화5단지 아파트,강서구,완속,85.4
롯데캐슬베네치아,중구,급속,85.2
한국광고문화회관,송파구,급속,85.1
창동2차현대아파트,도봉구,완속,83.8
은평스카이뷰자이아파트,은평구,완속,83.6
개나리래미안 아파트,강남구,완속,83.6
창3동 주민센터,도봉구,급속,83.3
노원구청,노원구,급속,83.0
서울직할,중구,급속,82.7
삼성동힐스테이트2단지,강남구,완속,82.2
구로4동 주택가 공동,구로구,급속,81.3
북서울꿈의숲,강북구,급속,81.2
둔촌푸르지오아파트,강동구,완속,80.6
구의삼성쉐르빌아파트,광진구,완속,80.2
영등포아트자이 아파트,영등포구,급속,80.2
국회의사당,영등포구,완속,80.1
청담자이 아파트,강남구,완속,79.9
문래자이아파트,영등포구,완속,79.8
도곡렉슬 아파트,강남구,급속,79.6
동아그린 아파트,용산구,완속,79.4
대치2문화센터 공영주차장,강남구,급속,79.0
LH강남힐스테이트,강남구,완속,79.0
서울의료원,중랑구,급속,78.8
방배롯데캐슬아르떼,서초구,완속,78.1
길동삼익파크,강동구,급속,78.0
신성둔촌미소지움아파트 입주자대표회의,강동구,완속,77.6
정릉e편한세상 아파트,성북구,완속,77.5
효성주얼리시티,종로구,완속,77.3
한남동현대하이페리온,용산구,완속,77.1
DMC래미안e편한세상,서대문구,완속,76.5
서울숲M타워,성동구,급속,76.4
묵동자이2단지 아파트,중랑구,완속,76.1
고덕리엔파크3단지 아파트,강동구,급속,75.5
마포한강2차 푸르지오아파트,마포구,완속,75.5
서울전력관리처(공용),중구,급속,74.7
강남구청 공영주차장,강남구,급속,74.7
서울가든 아파트,도봉구,완속,73.9
롯데캐슬헤론,서초구,완속,73.6
서초더샵포레,서초구,완속,73.4
연희대우 아파트,서대문구,완속,73.3
보라매삼성 아파트,관악구,완속,73.2
강남한양수자인,강남구,완속,72.9
금호자이1차,성동구,완속,72.8
DMC센트럴아이파크아파트,서대문구,완속,72.6
리센츠 아파트,송파구,급속,72.5
미아동부센트레빌,강북구,완속,72.3
꿈의숲대명루첸 아파트,성북구,완속,72.1
광진구청 주차장,광진구,급속,72.0
남서울직할(영등포)지사(공용),영등포구,급속,71.8
중계센트럴파크,노원구,급속,71.8
송파더센트레,송파구,급속,71.7
서대문은평지사,은평구,급속,71.5
연세대학교,서대문구,급속,71.5
마포래미안푸르지오 1단지,마포구,완속,71.3
노원도봉지사(공용),노원구,급속,71.3
남서울직할(공용),영등포구,급속,71.1
LH서초5단지,서초구,완속,70.8
창신두산 아파트,종로구,완속,70.4
월드메르디앙 아파트,서초구,급속,70.2
거여4단지 아파트,송파구,완속,70.0
SK렌터카 본사,종로구,급속,69.8
삼선힐스테이트,성북구,완속,69.8
e편한세상 금호파크힐스,성동구,급속,69.7
은평평화공원 공영주차장,은평구,급속,69.5
서울특별시은평병원 주차장,은평구,급속,69.5
송파꿈에그린(위례24단지),송파구,완속,69.0
강동아트센터(강동문화재단),강동구,급속,69.0
마곡엠밸리11단지아파트,강서구,완속,68.8
힐스테이트 강동리버뷰,강동구,완속,68.5
서초네이처힐7단지,서초구,완속,68.3
고덕아이파크,강동구,급속,67.5
푸른마을2단지,양천구,급속,67.2
래미안대치팰리스,강남구,급속,66.9
당산근린지하공영주차장,영등포구,급속,66.7
타워팰리스1차,강남구,급속,66.7
신구로자이 아파트,구로구,완속,66.4
현대백화점 미아점,성북구,급속,66.2
서울숲SK V1 타워,성동구,급속,66.0
래미안첼리투스,용산구,급속,65.7
남산타운 아파트,중구,급속,65.5
월계청백1단지 아파트,노원구,완속,65.3
행당한진타운,성동구,급속,65.0
서초힐스 아파트,서초구,완속,64.3
광진성동지사,성동구,급속,63.8
성지(주상복합) 아파트,마포구,완속,63.8
한국연구재단,서초구,급속,63.7
서초호반써밋아파트,서초구,완속,63.5
한국원자력의학원,노원구,급속,63.3
국민대학교,성북구,급속,63.1
약수동공영주차장,중구,급속,63.1
"여의도KBS (본관,신관)",영등포구,급속,63.0
서초호반써밋아파트,서초구,급속,62.6
반포리체 아파트,서초구,완속,62.5
대방성원 아파트,동작구,완속,62.3
휘경주공1단지,동대문구,완속,62.2
구로아트밸리 지하1층,구로구,급속,62.2
성수2차대우 아파트,성동구,완속,62.0
메세나폴리스 아파트,마포구,급속,62.0
금호스포츠센터,성동구,급속,61.9
광장힐스테이트 아파트,광진구,완속,61.7
한양대학교,성동구,급속,61.6
방학우성1차 아파트,도봉구,완속,61.5
한강대우,용산구,완속,61.4
파크타워 아파트,용산구,완속,61.1
응암3동 공영주차장,은평구,급속,61.1
래미안첼리투스,용산구,완속,61.0
문래자이아파트,영등포구,급속,60.9
역삼래미안,강남구,급속,60.9
래미안그레이튼,강남구,급속,60.9
북한산코오롱하늘채 아파트,도봉구,완속,60.7
우림골목시장 주차장,중랑구,급속,60.6
한일병원,도봉구,급속,60.6
성수동아이파크 아파트,성동구,완속,60.3
도곡렉슬 아파트,강남구,완속,60.2
래미안엘파인 아파트,동대문구,완속,60.1
센트라스 6획지,성동구,완속,59.8
학여울청구 아파트,노원구,급속,59.7
문정근린공원 공영주차장,송파구,급속,59.5
잠원동방음언덕형 공영주차장,서초구,급속,59.3
센트라스 2획지,성동구,급속,59.3
강서양천지사(공용),양천구,급속,59.2
묵동자이2단지 아파트,중랑구,급속,59.0
수락산벨리체아파트,노원구,완속,58.9
쌍문한양6차 아파트,도봉구,완속,58.8
천왕이펜하우스2단지,구로구,완속,58.3
경희궁의아침3단지 아파트,종로구,완속,58.3
고척LIG리가 아파트,구로구,완속,58.1
대우신림2차푸르지오,관악구,급속,58.1
관악동작 견인차량 보관소,관악구,급속,58.0
신림쌍용 아파트,관악구,완속,57.9
동아청솔아파트,도봉구,완속,57.8
방배롯데캐슬포레스트,서초구,완속,57.8
보라매삼성 아파트,관악구,급속,57.5
고척스카이돔,구로구,급속,57.4
방배동부센트레빌 아파트,서초구,완속,57.3
개나리래미안 아파트,강남구,급속,57.2
신림쌍용 아파트,관악구,급속,57.1
강남한신휴플러스6단지 아파트,강남구,급속,57.0
남서울힐스테이트아파트,금천구,급속,57.0
신도림동아1차 아파트,구로구,급속,57.0
영등포전력지사,영등포구,급속,56.9
화곡초록 아파트,강서구,급속,56.9
화랑타운,노원구,완속,56.6
래미안서초스위트 아파트,서초구,급속,56.4
위례스타힐스,송파구,급속,56.2
사당롯데캐슬샤인,동작구,급속,56.1
한강대우,용산구,급속,56.1
세곡푸르지오아파트,강남구,급속,56.0
롯데캐슬베네치아,중구,완속,55.9
강일리버파크 6단지,강동구,급속,55.7
송파파인타운10단지,송파구,급속,55.6
상계동아불암아파트,노원구,완속,55.1
브라운스톤공덕 아파트,마포구,완속,55.0
신내LG쌍용아파트,중랑구,급속,54.7
광진성동지사(공용),성동구,급속,54.6
고려대학교,성북구,급속,54.4
고려대학교(자연과학),성북구,급속,54.4
금나래체육문화센타,금천구,급속,54.3
광진하우스토리한강,광진구,완속,54.1
양천벽산블루밍 아파트,양천구,완속,53.7
정릉e편한세상 아파트,성북구,급속,53.6
노원프레미어스엠코,노원구,완속,53.6
신내7단지진로아파트,중랑구,완속,53.6
마포래미안푸르지오 4단지,마포구,완속,53.5
동아그린 아파트,용산구,급속,53.3
마곡엠밸리3단지,강서구,완속,53.1
삼성파크 아파트,강남구,완속,53.1
마곡힐스테이트,강서구,급속,53.1
서대문은평지사(공용),은평구,급속,52.8
천왕이펜하우스4단지 아파트,구로구,완속,52.8
신길삼성래미안,영등포구,완속,52.7
청암자이 아파트,용산구,완속,52.6
용산아크로타워,용산구,완속,52.6
강북문화예술회관,강북구,급속,52.4
래미안엘파인 아파트,동대문구,급속,52.4
성내삼성 아파트,강동구,급속,52.3
정릉2차 e편한세상 아파트,성북구,급속,52.3
GS강동자이 아파트,강동구,완속,52.2
서울 새활용플라자,성동구,급속,52.2
청솔우성,동대문구,급속,52.1
서울서부지방검찰청,마포구,급속,52.0
목동2차우성아파트,양천구,급속,52.0
상계주공16단지아파트,노원구,급속,52.0
공무원연금공단 서울지부(상록회관),강남구,급속,51.9
마곡엠밸리6단지,강서구,완속,51.9
마포래미안푸르지오 2단지,마포구,완속,51.8
등마루 공영주차장,양천구,급속,51.8
